model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95,interpretation_scale,interpreted_effect,interpreted_ci_low_95,interpreted_ci_high_95,n,r_squared,adjusted_r_squared,max_leverage,formula
H1_M1,H1,Female Protagonist only,tag_female_protagonist,1.23558641797891,0.0378786749816254,32.619578656811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000730142637842595,1.16134557923283,1.30982725672499,Percent difference in estimated revenue,244.039543900874,219.422847320256,270.553355091878,79891,0.0121450576313954,0.0121326922877015,0.000118231260345163,log_revenue ~ tag_female_protagonist
H1_M2,H1,Add Free to Play and Early Access,tag_female_protagonist,1.26907882938618,0.0379940464042875,33.4020445172424,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000611693039090848,1.19461186680684,1.34354579196553,Percent difference in estimated revenue,255.757391994131,230.227579887937,283.260907527515,79891,0.0199671691629342,0.0199303659472355,0.000664729496853222,log_revenue ~ tag_female_protagonist + is_free + is_early_access
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",tag_female_protagonist,1.21262673428689,0.0357652093835271,33.9052043924398,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033916491952555,1.14252821199565,1.28272525657814,Percent difference in estimated revenue,236.230494487712,213.468349982777,260.645485994559,79852,0.165197424588525,0.164894133833007,0.00534106948086006,log_revenue ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H1_M4,H1,Price sensitivity: main H1 plus current price,tag_female_protagonist,1.07783568328387,0.0588113925185729,18.3269879716499,0.00000000000000000000000000000000000000000000000000000000000000000000000000718474670902384,0.962567472066817,1.19310389450092,Percent difference in estimated revenue,193.831322374895,161.841054657506,229.729981119691,79852,0.233024130750128,0.232735869815318,0.250264699695687,log_revenue ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period) + price_current
H1_M5,H1,Paid-only robustness; is_free omitted because it is constant,tag_female_protagonist,1.23030650182932,0.0359347181491198,34.2372659421973,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000542386022581477,1.15987574846244,1.30073725519619,Percent difference in estimated revenue,242.22783101184,218.953694662471,267.200287311326,77688,0.161986651435462,0.161684505209528,0.00521071298235741,log_revenue ~ tag_female_protagonist + is_early_access + genre_Action +      genre_Adventure + genre_Simulation + genre_Sports + genre_Racing +      genre_RPG + genre_Strategy + genre_Other + factor(release_period)
H2_M1,H2,Weighted GGGI: Female Protagonist only; common H2-main sample,tag_female_protagonist,-0.64973685128196,0.0723652698937705,-8.97857290155552,0.00000000000000000029480821482906,-0.791570174005271,-0.507903528558649,Points on the outcome's 0-100 scale,-0.64973685128196,-0.791570174005271,-0.507903528558649,23039,0.0033720315715943,0.00332876951627337,0.000341064120054436,weighted_gggi_2025 ~ tag_female_protagonist
H2_M2,H2,Weighted GGGI: add Free to Play and Early Access,tag_female_protagonist,-0.609298257997959,0.0730168847860468,-8.34462138152452,0.0000000000000000754076271403062,-0.752408722441921,-0.466187793553997,Points on the outcome's 0-100 scale,-0.609298257997959,-0.752408722441921,-0.466187793553997,23039,0.00442846385101324,0.0042988040025892,0.00105338903099074,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access
H2_M3,H2,"Main H2: game characteristics, genre flags and release-period effects",tag_female_protagonist,-0.466183678513394,0.073144564225848,-6.37345622941935,0.00000000018831870689993,-0.609544390060933,-0.322822966965856,Points on the outcome's 0-100 scale,-0.466183678513394,-0.609544390060933,-0.322822966965856,23039,0.0401199604641401,0.0389101503399913,0.00987358798190204,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H2_M4,H2,Language extension selected by pre-specified prevalence rule,tag_female_protagonist,-0.0125414955074664,0.0659257898722236,-0.190236560407909,0.849125442109455,-0.14175366930938,0.116670678294447,Points on the outcome's 0-100 scale,-0.0125414955074664,-0.14175366930938,0.116670678294447,23039,0.177882219543731,0.176488133129635,0.0115874142351252,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period) + language_count + lang_French + lang_German +      lang_Italian + lang_Spanish + lang_Simplified_Chinese + lang_Korean +      lang_Russian + lang_Japanese + lang_Portuguese
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,tag_female_protagonist,-0.576392490447812,0.0697485945027237,-8.26385814018523,0.000000000000000147676842982845,-0.713097223645439,-0.439687757250185,Points on the outcome's 0-100 scale,-0.576392490447812,-0.713097223645439,-0.439687757250185,26071,0.0486513237562912,0.0475918747485316,0.00870197442609398,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,tag_female_protagonist,-0.0201867173407117,0.0729864460947086,-0.276581727441792,0.782103781246117,-0.163237523045915,0.122864088364491,Points on the outcome's 0-100 scale,-0.0201867173407117,-0.163237523045915,0.122864088364491,23039,0.119827331635379,0.118717982798725,0.00987358798190204,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period)
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,tag_female_protagonist,0.184024177912531,0.0725240707410826,2.53742207286617,0.0111737689868068,0.0418796112477739,0.326168744577288,Points on the outcome's 0-100 scale,0.184024177912531,0.0418796112477739,0.326168744577288,23039,0.144526115061119,0.143075465836691,0.0115874142351252,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period) + language_count +      lang_French + lang_German + lang_Italian + lang_Spanish +      lang_Simplified_Chinese + lang_Korean + lang_Russian + lang_Japanese +      lang_Portuguese
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,tag_female_protagonist,-0.061939088005845,0.0685482589603796,-0.903583678786727,0.366224557226188,-0.196291206771114,0.0724130307594241,Points on the outcome's 0-100 scale,-0.061939088005845,-0.196291206771114,0.0724130307594241,26071,0.127626249104451,0.126654748825047,0.00870197442609398,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period)
H2_M9,H2 sensitivity,Russia sensitivity: 2021 WEF score 70.8; Taiwan and Hong Kong remain uncovered,tag_female_protagonist,-0.281970544821569,0.0602254925227927,-4.68191347235318,0.00000285376378401979,-0.400010341117429,-0.163930748525709,Points on the outcome's 0-100 scale,-0.281970544821569,-0.400010341117429,-0.163930748525709,31963,0.0323273018246335,0.0314485084683223,0.0064410975604762,weighted_gggi_russia_sensitivity ~ tag_female_protagonist + is_free +      is_early_access + genre_Action + genre_Adventure + genre_Simulation +      genre_Sports + genre_Racing + genre_RPG + genre_Strategy +      genre_Other + factor(release_period)
