model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95,interpretation_scale,interpreted_effect,interpreted_ci_low_95,interpreted_ci_high_95,n,r_squared,adjusted_r_squared,max_leverage,formula
H1_M1,H1,Female Protagonist only,tag_female_protagonist,1.236,0.038,32.620,<0.001,1.161,1.310,Percent difference in estimated revenue,244.040,219.423,270.553,79891,0.012,0.012,0.000,log_revenue ~ tag_female_protagonist
H1_M2,H1,Add Free to Play and Early Access,tag_female_protagonist,1.269,0.038,33.402,<0.001,1.195,1.344,Percent difference in estimated revenue,255.757,230.228,283.261,79891,0.020,0.020,0.001,log_revenue ~ tag_female_protagonist + is_free + is_early_access
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",tag_female_protagonist,1.213,0.036,33.905,<0.001,1.143,1.283,Percent difference in estimated revenue,236.230,213.468,260.645,79852,0.165,0.165,0.005,log_revenue ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H1_M4,H1,Price sensitivity: main H1 plus current price,tag_female_protagonist,1.078,0.059,18.327,<0.001,0.963,1.193,Percent difference in estimated revenue,193.831,161.841,229.730,79852,0.233,0.233,0.250,log_revenue ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period) + price_current
H1_M5,H1,Paid-only robustness; is_free omitted because it is constant,tag_female_protagonist,1.230,0.036,34.237,<0.001,1.160,1.301,Percent difference in estimated revenue,242.228,218.954,267.200,77688,0.162,0.162,0.005,log_revenue ~ tag_female_protagonist + is_early_access + genre_Action +      genre_Adventure + genre_Simulation + genre_Sports + genre_Racing +      genre_RPG + genre_Strategy + genre_Other + factor(release_period)
H2_M1,H2,Weighted GGGI: Female Protagonist only; common H2-main sample,tag_female_protagonist,-0.650,0.072,-8.979,<0.001,-0.792,-0.508,Points on the outcome's 0-100 scale,-0.650,-0.792,-0.508,23039,0.003,0.003,0.000,weighted_gggi_2025 ~ tag_female_protagonist
H2_M2,H2,Weighted GGGI: add Free to Play and Early Access,tag_female_protagonist,-0.609,0.073,-8.345,<0.001,-0.752,-0.466,Points on the outcome's 0-100 scale,-0.609,-0.752,-0.466,23039,0.004,0.004,0.001,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access
H2_M3,H2,"Main H2: game characteristics, genre flags and release-period effects",tag_female_protagonist,-0.466,0.073,-6.373,<0.001,-0.610,-0.323,Points on the outcome's 0-100 scale,-0.466,-0.610,-0.323,23039,0.040,0.039,0.010,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H2_M4,H2,Language extension selected by pre-specified prevalence rule,tag_female_protagonist,-0.013,0.066,-0.190,0.849,-0.142,0.117,Points on the outcome's 0-100 scale,-0.013,-0.142,0.117,23039,0.178,0.176,0.012,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period) + language_count + lang_French + lang_German +      lang_Italian + lang_Spanish + lang_Simplified_Chinese + lang_Korean +      lang_Russian + lang_Japanese + lang_Portuguese
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,tag_female_protagonist,-0.576,0.070,-8.264,<0.001,-0.713,-0.440,Points on the outcome's 0-100 scale,-0.576,-0.713,-0.440,26071,0.049,0.048,0.009,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,tag_female_protagonist,-0.020,0.073,-0.277,0.782,-0.163,0.123,Points on the outcome's 0-100 scale,-0.020,-0.163,0.123,23039,0.120,0.119,0.010,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period)
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,tag_female_protagonist,0.184,0.073,2.537,0.011,0.042,0.326,Points on the outcome's 0-100 scale,0.184,0.042,0.326,23039,0.145,0.143,0.012,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period) + language_count +      lang_French + lang_German + lang_Italian + lang_Spanish +      lang_Simplified_Chinese + lang_Korean + lang_Russian + lang_Japanese +      lang_Portuguese
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,tag_female_protagonist,-0.062,0.069,-0.904,0.366,-0.196,0.072,Points on the outcome's 0-100 scale,-0.062,-0.196,0.072,26071,0.128,0.127,0.009,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period)
H2_M9,H2 sensitivity,Russia sensitivity: 2021 WEF score 70.8; Taiwan and Hong Kong remain uncovered,tag_female_protagonist,-0.282,0.060,-4.682,<0.001,-0.400,-0.164,Points on the outcome's 0-100 scale,-0.282,-0.400,-0.164,31963,0.032,0.031,0.006,weighted_gggi_russia_sensitivity ~ tag_female_protagonist + is_free +      is_early_access + genre_Action + genre_Adventure + genre_Simulation +      genre_Sports + genre_Racing + genre_RPG + genre_Strategy +      genre_Other + factor(release_period)
