model_id,family,description,term,estimate,std_error_hc3,statistic,p_value,conf_low_95,conf_high_95
H1_M1,H1,Female Protagonist only,(Intercept),7.616,0.013,590.680,<0.001,7.591,7.642
H1_M1,H1,Female Protagonist only,tag_female_protagonist,1.236,0.038,32.620,<0.001,1.161,1.310
H1_M2,H1,Add Free to Play and Early Access,(Intercept),7.538,0.014,548.982,<0.001,7.512,7.565
H1_M2,H1,Add Free to Play and Early Access,tag_female_protagonist,1.269,0.038,33.402,<0.001,1.195,1.344
H1_M2,H1,Add Free to Play and Early Access,is_free,1.821,0.087,20.966,<0.001,1.651,1.992
H1_M2,H1,Add Free to Play and Early Access,is_early_access,0.201,0.038,5.315,<0.001,0.127,0.276
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",(Intercept),12.110,0.139,87.256,<0.001,11.838,12.383
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",tag_female_protagonist,1.213,0.036,33.905,<0.001,1.143,1.283
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",is_free,1.701,0.083,20.505,<0.001,1.538,1.864
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",is_early_access,0.183,0.037,4.967,<0.001,0.111,0.255
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Action,-0.165,0.026,-6.359,<0.001,-0.216,-0.114
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Adventure,0.245,0.026,9.522,<0.001,0.195,0.295
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Simulation,0.927,0.030,30.844,<0.001,0.868,0.986
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Sports,0.027,0.057,0.469,0.639,-0.085,0.138
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Racing,-0.338,0.063,-5.390,<0.001,-0.461,-0.215
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_RPG,0.788,0.031,25.094,<0.001,0.726,0.849
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Strategy,0.041,0.031,1.330,0.183,-0.020,0.102
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",genre_Other,-0.967,0.038,-25.568,<0.001,-1.041,-0.892
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2009,-0.724,0.210,-3.454,<0.001,-1.135,-0.313
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",factor(release_period)2010,-0.539,0.217,-2.485,0.013,-0.965,-0.114
