term,H1_M1,H1_M2,H1_M3,H1_M4,H1_M5,H2_M1,H2_M2,H2_M3,H2_M4,H2_M5,H2_M6,H2_M7,H2_M8,H2_M9
genre_Action,"","",-0.1649 (0.0259),-0.1503 (0.0253),-0.1799 (0.0262),"","",-0.1154 (0.0535),-0.1660 (0.0500),-0.0480 (0.0515),0.1847 (0.0566),0.1895 (0.0564),0.1774 (0.0537),-0.2957 (0.0428)
genre_Adventure,"","",0.2449 (0.0257),0.2300 (0.0251),0.2666 (0.0259),"","",0.0443 (0.0544),0.0213 (0.0502),0.0010 (0.0519),0.1525 (0.0580),0.1326 (0.0572),0.1783 (0.0546),-0.0671 (0.0431)
genre_Other,"","",-0.9665 (0.0378),-0.8148 (0.0786),-0.9614 (0.0382),"","",0.0331 (0.1073),0.0537 (0.1006),-0.1488 (0.1045),0.1691 (0.1129),0.1536 (0.1114),0.0505 (0.1080),-0.2277 (0.0855)
genre_RPG,"","",0.7876 (0.0314),0.7024 (0.0440),0.7715 (0.0318),"","",-0.6566 (0.0591),-0.3228 (0.0538),-0.8362 (0.0562),0.3122 (0.0609),0.3537 (0.0611),0.3861 (0.0563),-0.5614 (0.0472)
genre_Racing,"","",-0.3379 (0.0627),-0.3211 (0.0598),-0.3237 (0.0634),"","",0.0847 (0.1442),0.0250 (0.1410),0.1605 (0.1417),-0.0410 (0.1580),-0.0332 (0.1576),-0.0105 (0.1536),-0.0046 (0.1146)
genre_Simulation,"","",0.9267 (0.0300),0.8433 (0.0409),0.9545 (0.0304),"","",0.3159 (0.0619),0.2194 (0.0572),0.3333 (0.0599),-0.0856 (0.0659),-0.1068 (0.0653),-0.0270 (0.0626),0.2048 (0.0499)
genre_Sports,"","",0.0267 (0.0570),-0.0563 (0.0619),0.0099 (0.0577),"","",0.4507 (0.1241),0.2237 (0.1194),0.4274 (0.1246),0.0445 (0.1470),-0.0467 (0.1454),-0.0416 (0.1439),0.3652 (0.1072)
genre_Strategy,"","",0.0413 (0.0310),0.0309 (0.0302),0.0374 (0.0314),"","",0.1332 (0.0634),0.0880 (0.0585),0.0466 (0.0611),0.2976 (0.0661),0.2509 (0.0652),0.2526 (0.0621),0.0652 (0.0510)
is_early_access,"",0.2014 (0.0379),0.1831 (0.0369),0.0922 (0.0509),0.2033 (0.0374),"",0.2561 (0.0782),0.3852 (0.0801),0.3133 (0.0752),0.4531 (0.0771),0.3641 (0.0893),0.2469 (0.0889),0.3472 (0.0855),0.4522 (0.0646)
is_free,"",1.8213 (0.0869),1.7010 (0.0830),2.0797 (0.2327),"","",0.2620 (0.0660),0.4185 (0.0688),0.2717 (0.0666),0.4044 (0.0669),0.0682 (0.0715),-0.0254 (0.0720),0.0177 (0.0687),0.3036 (0.0547)
lang_French,"","","","","","","","",0.5298 (0.1027),"","",0.7619 (0.1164),"",""
lang_German,"","","","","","","","",0.9758 (0.1009),"","",-0.3446 (0.1174),"",""
lang_Italian,"","","","","","","","",-0.1328 (0.0784),"","",-0.2507 (0.0898),"",""
lang_Japanese,"","","","","","","","",-1.9274 (0.0695),"","",-1.4625 (0.0796),"",""
lang_Korean,"","","","","","","","",0.6574 (0.0817),"","",0.4500 (0.0958),"",""
lang_Portuguese,"","","","","","","","",0.1946 (0.0769),"","",0.0681 (0.0887),"",""
lang_Russian,"","","","","","","","",0.2643 (0.0708),"","",-0.1173 (0.0803),"",""
lang_Simplified_Chinese,"","","","","","","","",-2.3594 (0.0655),"","",-0.1635 (0.0704),"",""
lang_Spanish,"","","","","","","","",0.4616 (0.0955),"","",0.2404 (0.1086),"",""
language_count,"","","","","","","","",-0.0089 (0.0036),"","",-0.0154 (0.0048),"",""
price_current,"","","",0.0668 (0.0235),"","","","","","","","","",""
tag_female_protagonist,1.2356 (0.0379),1.2691 (0.0380),1.2126 (0.0358),1.0778 (0.0588),1.2303 (0.0359),-0.6497 (0.0724),-0.6093 (0.0730),-0.4662 (0.0731),-0.0125 (0.0659),-0.5764 (0.0697),-0.0202 (0.0730),0.1840 (0.0725),-0.0619 (0.0685),-0.2820 (0.0602)
