model_id,family,description,outcome,n,r_squared,adjusted_r_squared,residual_df,max_leverage,aic,bic,formula
H1_M1,H1,Female Protagonist only,log_revenue,79891,0.0121450576313954,0.0121326922877015,79889,0.000118231260345163,423598.330492936,423626.195748389,log_revenue ~ tag_female_protagonist
H1_M2,H1,Add Free to Play and Early Access,log_revenue,79891,0.0199671691629342,0.0199303659472355,79887,0.000664729496853222,422967.213376952,423013.655469375,log_revenue ~ tag_female_protagonist + is_free + is_early_access
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",log_revenue,79852,0.165197424588525,0.164894133833007,79822,0.00534106948086006,410000.18218459,410288.108020799,log_revenue ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H1_M4,H1,Price sensitivity: main H1 plus current price,log_revenue,79852,0.233024130750128,0.232735869815318,79821,0.250264699695687,403235.530044625,403532.743811034,log_revenue ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period) + price_current
H1_M5,H1,Paid-only robustness; is_free omitted because it is constant,log_revenue,77688,0.161986651435462,0.161684505209528,77659,0.00521071298235741,397895.458721469,398173.272403997,log_revenue ~ tag_female_protagonist + is_early_access + genre_Action +      genre_Adventure + genre_Simulation + genre_Sports + genre_Racing +      genre_RPG + genre_Strategy + genre_Other + factor(release_period)
H2_M1,H2,Weighted GGGI: Female Protagonist only; common H2-main sample,weighted_gggi_2025,23039,0.0033720315715943,0.00332876951627337,23037,0.000341064120054436,125954.210446707,125978.345277841,weighted_gggi_2025 ~ tag_female_protagonist
H2_M2,H2,Weighted GGGI: add Free to Play and Early Access,weighted_gggi_2025,23039,0.00442846385101324,0.0042988040025892,23035,0.00105338903099074,125933.776000749,125974.000719304,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access
H2_M3,H2,"Main H2: game characteristics, genre flags and release-period effects",weighted_gggi_2025,23039,0.0401199604641401,0.0389101503399913,23009,0.00987358798190204,125144.652923056,125394.0461781,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H2_M4,H2,Language extension selected by pre-specified prevalence rule,weighted_gggi_2025,23039,0.177882219543731,0.176488133129635,22999,0.0115874142351252,121595.343961962,121925.186654117,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period) + language_count + lang_French + lang_German +      lang_Italian + lang_Spanish + lang_Simplified_Chinese + lang_Korean +      lang_Russian + lang_Japanese + lang_Portuguese
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,weighted_gggi_2025,26071,0.0486513237562912,0.0475918747485316,26041,0.00870197442609398,142963.22540244,143216.451347239,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,weighted_economic_participation_2025,23039,0.119827331635379,0.118717982798725,23009,0.00987358798190204,127790.174936214,128039.568191258,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period)
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,weighted_economic_participation_2025,23039,0.144526115061119,0.143075465836691,22999,0.0115874142351252,127154.426581087,127484.269273242,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period) + language_count +      lang_French + lang_German + lang_Italian + lang_Spanish +      lang_Simplified_Chinese + lang_Korean + lang_Russian + lang_Japanese +      lang_Portuguese
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,weighted_economic_participation_2025,26071,0.127626249104451,0.126654748825047,26041,0.00870197442609398,145149.255572929,145402.481517728,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period)
H2_M9,H2 sensitivity,Russia sensitivity: 2021 WEF score 70.8; Taiwan and Hong Kong remain uncovered,weighted_gggi_russia_sensitivity,31963,0.0323273018246335,0.0314485084683223,31933,0.0064410975604762,170248.419706366,170507.962068513,weighted_gggi_russia_sensitivity ~ tag_female_protagonist + is_free +      is_early_access + genre_Action + genre_Adventure + genre_Simulation +      genre_Sports + genre_Racing + genre_RPG + genre_Strategy +      genre_Other + factor(release_period)
