model_id,family,description,outcome,n,r_squared,adjusted_r_squared,residual_df,max_leverage,aic,bic,formula
H1_M1,H1,Female Protagonist only,log_revenue,79891,0.012,0.012,79889,0.000,423598.330,423626.196,log_revenue ~ tag_female_protagonist
H1_M2,H1,Add Free to Play and Early Access,log_revenue,79891,0.020,0.020,79887,0.001,422967.213,423013.655,log_revenue ~ tag_female_protagonist + is_free + is_early_access
H1_M3,H1,"Main H1: game characteristics, genre flags and release-period effects",log_revenue,79852,0.165,0.165,79822,0.005,410000.182,410288.108,log_revenue ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H1_M4,H1,Price sensitivity: main H1 plus current price,log_revenue,79852,0.233,0.233,79821,0.250,403235.530,403532.744,log_revenue ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period) + price_current
H1_M5,H1,Paid-only robustness; is_free omitted because it is constant,log_revenue,77688,0.162,0.162,77659,0.005,397895.459,398173.272,log_revenue ~ tag_female_protagonist + is_early_access + genre_Action +      genre_Adventure + genre_Simulation + genre_Sports + genre_Racing +      genre_RPG + genre_Strategy + genre_Other + factor(release_period)
H2_M1,H2,Weighted GGGI: Female Protagonist only; common H2-main sample,weighted_gggi_2025,23039,0.003,0.003,23037,0.000,125954.210,125978.345,weighted_gggi_2025 ~ tag_female_protagonist
H2_M2,H2,Weighted GGGI: add Free to Play and Early Access,weighted_gggi_2025,23039,0.004,0.004,23035,0.001,125933.776,125974.001,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access
H2_M3,H2,"Main H2: game characteristics, genre flags and release-period effects",weighted_gggi_2025,23039,0.040,0.039,23009,0.010,125144.653,125394.046,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H2_M4,H2,Language extension selected by pre-specified prevalence rule,weighted_gggi_2025,23039,0.178,0.176,22999,0.012,121595.344,121925.187,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period) + language_count + lang_French + lang_German +      lang_Italian + lang_Spanish + lang_Simplified_Chinese + lang_Korean +      lang_Russian + lang_Japanese + lang_Portuguese
H2_M5,H2,Coverage robustness: at least 80% official GGGI coverage,weighted_gggi_2025,26071,0.049,0.048,26041,0.009,142963.225,143216.451,weighted_gggi_2025 ~ tag_female_protagonist + is_free + is_early_access +      genre_Action + genre_Adventure + genre_Simulation + genre_Sports +      genre_Racing + genre_RPG + genre_Strategy + genre_Other +      factor(release_period)
H2_M6,H2 complementary,Economic Participation and Opportunity: main specification,weighted_economic_participation_2025,23039,0.120,0.119,23009,0.010,127790.175,128039.568,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period)
H2_M7,H2 complementary,Economic Participation and Opportunity: language extension,weighted_economic_participation_2025,23039,0.145,0.143,22999,0.012,127154.427,127484.269,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period) + language_count +      lang_French + lang_German + lang_Italian + lang_Spanish +      lang_Simplified_Chinese + lang_Korean + lang_Russian + lang_Japanese +      lang_Portuguese
H2_M8,H2 complementary,Economic Participation and Opportunity: 80% coverage robustness,weighted_economic_participation_2025,26071,0.128,0.127,26041,0.009,145149.256,145402.482,weighted_economic_participation_2025 ~ tag_female_protagonist +      is_free + is_early_access + genre_Action + genre_Adventure +      genre_Simulation + genre_Sports + genre_Racing + genre_RPG +      genre_Strategy + genre_Other + factor(release_period)
H2_M9,H2 sensitivity,Russia sensitivity: 2021 WEF score 70.8; Taiwan and Hong Kong remain uncovered,weighted_gggi_russia_sensitivity,31963,0.032,0.031,31933,0.006,170248.420,170507.962,weighted_gggi_russia_sensitivity ~ tag_female_protagonist + is_free +      is_early_access + genre_Action + genre_Adventure + genre_Simulation +      genre_Sports + genre_Racing + genre_RPG + genre_Strategy +      genre_Other + factor(release_period)
