sample,appid,reason
H2 main,38440,Missing core regression variable
H2 main,42200,Missing core regression variable
H2 main,55020,Missing core regression variable
H2 main,71250,Missing core regression variable
H2 main,202530,Missing core regression variable
H2 main,243020,Missing core regression variable
H2 main,312860,Missing core regression variable
H2 main,457600,Missing core regression variable
H2 main,559210,Missing core regression variable
H2 main,585260,Missing core regression variable
H2 main,650780,Missing core regression variable
H2 main,701380,Missing core regression variable
H2 main,830640,Missing core regression variable
H2 main,1110390,Missing core regression variable
H2 80%,38440,Missing core regression variable
H2 80%,42200,Missing core regression variable
H2 80%,55020,Missing core regression variable
H2 80%,71250,Missing core regression variable
H2 80%,104600,Missing core regression variable
H2 80%,202530,Missing core regression variable
H2 80%,243020,Missing core regression variable
H2 80%,312860,Missing core regression variable
H2 80%,457600,Missing core regression variable
H2 80%,559210,Missing core regression variable
H2 80%,585260,Missing core regression variable
H2 80%,650780,Missing core regression variable
H2 80%,667720,Missing core regression variable
H2 80%,701380,Missing core regression variable
H2 80%,830640,Missing core regression variable
H2 80%,1110390,Missing core regression variable
H2 80%,1292940,Missing core regression variable
